repeat,fold,n_train,n_valid,r2,mse,rmse,mae,max_error,negative_predictions,variant
3,16,792,198,0.8507914208893927,0.4166104911024805,0.6454537094962586,0.4350975052443418,3.136296642303467,5,no_physics_loss
3,17,792,198,0.8340113445739443,0.45069367932742377,0.6713372321921552,0.47047040250325445,2.9860718631744385,1,no_physics_loss
3,18,792,198,0.7838956177837854,0.4969174534537286,0.7049237217272012,0.4449034055796537,4.400096729278564,1,no_physics_loss
3,19,792,198,0.6783674769936998,0.6623618173491841,0.8138561404506229,0.5079292510103698,4.125000347137451,5,no_physics_loss
4,20,792,198,0.8063821463961693,0.47054170702599263,0.6859604267200788,0.4702934720684784,3.3359060363769535,2,no_physics_loss
4,21,792,198,0.8491289457988603,0.43501455465223593,0.6595563316747372,0.4354428869281152,3.305812721252442,4,no_physics_loss
4,22,792,198,0.739049118437004,0.522679577143567,0.7229658201765606,0.47531282184340745,3.312211502075195,1,no_physics_loss
4,23,792,198,0.8610537325744549,0.34230681923621625,0.5850699267918462,0.41019124913938115,3.327731201171875,5,no_physics_loss
4,24,792,198,0.7945675296769134,0.4345741327830234,0.659222369753199,0.4567712169969925,2.686945175170899,2,no_physics_loss
0,0,792,198,0.8288708110658133,0.4058870191174933,0.6370926299349988,0.4196240214458619,2.720286785125732,3,no_anisotropy_loss
0,1,792,198,0.8559932248238818,0.3720961862475328,0.6099968739653776,0.42368757640352156,3.12792569732666,1,no_anisotropy_loss
0,2,792,198,0.8200906719644537,0.4176579604364859,0.6462646210620584,0.42373859176250417,3.655769393920899,2,no_anisotropy_loss
0,3,792,198,0.8519401361260137,0.4166030343424984,0.6454479330995634,0.45513033764530914,3.309204616546631,4,no_anisotropy_loss
0,4,792,198,0.7354880771665746,0.48573828500206584,0.6969492700348181,0.50188555912538,3.2048106536865237,0,no_anisotropy_loss
1,5,792,198,0.8435557051119351,0.31886374797775013,0.5646802174485575,0.41630478765988593,1.9960713806152346,3,no_anisotropy_loss
1,6,792,198,0.8482536044063141,0.35973774712747003,0.5997814161237992,0.4294935627128138,2.543317356109619,2,no_anisotropy_loss
1,7,792,198,0.7893879401413785,0.508813621398902,0.7133117280676815,0.44006539732278,3.961423542022705,3,no_anisotropy_loss
1,8,792,198,0.8865170304435182,0.3132625294829275,0.5596986059326282,0.38856312538879084,2.0371271991729736,2,no_anisotropy_loss
1,9,792,198,0.810567939431801,0.4390571343262166,0.6626138651780663,0.4397872666626265,3.776301269531251,2,no_anisotropy_loss
2,10,792,198,0.8645312598898587,0.37928636431626306,0.6158622933061116,0.47414711735946957,1.9998171119689943,5,no_anisotropy_loss
2,11,792,198,0.8178991731581623,0.4538211409172583,0.6736624829373076,0.4463073903575088,2.727955940246582,2,no_anisotropy_loss
2,12,792,198,0.7932410245286283,0.4400161363475005,0.6633371211891436,0.43058581345009084,3.791173351287842,3,no_anisotropy_loss
2,13,792,198,0.8233801835047527,0.49628528976269504,0.7044751874712799,0.46880536740958084,3.7177306995391843,1,no_anisotropy_loss
2,14,792,198,0.591628027798542,0.6972536100502578,0.8350171315908781,0.5766428269352577,3.4418562965393065,3,no_anisotropy_loss
3,15,792,198,0.7797806716847369,0.4551446002901712,0.6746440545133198,0.4665665318074852,3.1019463424682616,5,no_anisotropy_loss
3,16,792,198,0.8291206741106617,0.47711814094312427,0.6907373892754932,0.45892251702992604,3.2018522148132327,5,no_anisotropy_loss
3,17,792,198,0.8508321367584333,0.4050217344624538,0.6364131790452283,0.4091163437125659,3.241798915863037,3,no_anisotropy_loss
3,18,792,198,0.7913942422728245,0.47967487212665966,0.6925856424491196,0.4443520899469202,3.690765762329102,1,no_anisotropy_loss
3,19,792,198,0.7729244131393207,0.4676336739295665,0.6838374616307347,0.46433202054043016,2.9206792373657224,3,no_anisotropy_loss
4,20,792,198,0.807296124798057,0.4683205019593921,0.684339463979239,0.4732005727170694,3.7473522348403927,4,no_anisotropy_loss
4,21,792,198,0.8477996756943248,0.4388473100180608,0.6624555155012756,0.45708078898925975,3.0050933685302734,3,no_anisotropy_loss
4,22,792,198,0.7079148748524056,0.5850408658811728,0.764879641434633,0.4742193827605007,4.57470883178711,2,no_anisotropy_loss
4,23,792,198,0.8812685467310551,0.2925057784194489,0.540838033443885,0.3829839063124223,2.064515029907226,3,no_anisotropy_loss
4,24,792,198,0.787503323779829,0.44951783251412275,0.6704609105042014,0.47853808543658016,3.6917357559204103,5,no_anisotropy_loss
0,0,792,198,0.8482824609593032,0.35984614928989694,0.599871777374046,0.41047673418064307,2.690379616737366,0,in_sample_prior
