Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group (not Space group),2D Bravais type,Band gap (HSE06) [eV],Thickness [Å],Energy [eV],Unit cell area [Å2],Vacuum level [eV],Stoichiometry,Total magnetic moment [μB]
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,4
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,20
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,2.489
,,,,,,,,,,,,2.043
,,,,,,,,,,,,1.597
,,,,,,,,,,,,0
,,,,,,,,,,,,4.008
,,,,,,,,,,,,3.996
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,3.533
,,,,,,,,,,,,3.076
,,,,,,,,,,,,3.866
,,,,,,,,,,,,3.145
,,,,,,,,,,,,2.906
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,2.472
,,,,,,,,,,,,1.957
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,3.573
,,,,,,,,,,,,3.143
,,,,,,,,,,,,3.838
,,,,,,,,,,,,3.144
,,,,,,,,,,,,3.82
,,,,,,,,,,,,2.679
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,1.22
,,,,,,,,,,,,0
,,,,,,,,,,,,2.868
,,,,,,,,,,,,2.007
,,,,,,,,,,,,1.492
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,3.808
,,,,,,,,,,,,2.961
,,,,,,,,,,,,2.802
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0.913
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0.833
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1
,,,,,,,,,,,,
,,,,,,,,,,,,2
,,,,,,,,,,,,2
,,,,,,,,,,,,2
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,1.041
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1.984
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,7.124
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,5.988
,,,,,,,,,,,,5.879
,,,,,,,,,,,,7.911
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,2.761
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,7.484
,,,,,,,,,,,,-1.133
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,-6.485
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,7.997
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,-10
,,,,,,,,,,,,
,,,,,,,,,,,,0.413
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,9
,,,,,,,,,,,,9
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0.98
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,3.065
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0.955
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0.87
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0.66
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,2.685
,,,,,,,,,,,,3.299
,,,,,,,,,,,,3.665
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,3.844
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,8
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,14.744
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,6
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,1.55
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,2.067
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,1.915
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4.323
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1.959
,,,,,,,,,,,,5.199
,,,,,,,,,,,,1.94
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0.846
,,,,,,,,,,,,2
,,,,,,,,,,,,0
,,,,,,,,,,,,1.53
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,12
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,20
,,,,,,,,,,,,20
,,,,,,,,,,,,3.999
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,5.997
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,6
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4.002
,,,,,,,,,,,,0.252
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,5.991
,,,,,,,,,,,,5.984
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,2.072
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,2
,,,,,,,,,,,,2
,,,,,,,,,,,,2
,,,,,,,,,,,,0
,,,,,,,,,,,,2.35
,,,,,,,,,,,,2.888
,,,,,,,,,,,,2.743
,,,,,,,,,,,,2.49
,,,,,,,,,,,,2.884
,,,,,,,,,,,,2.748
,,,,,,,,,,,,0
,,,,,,,,,,,,1.906
,,,,,,,,,,,,0
,,,,,,,,,,,,1.996
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,2.788
,,,,,,,,,,,,3.847
,,,,,,,,,,,,2.992
,,,,,,,,,,,,3.834
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,1.016
,,,,,,,,,,,,2.227
,,,,,,,,,,,,
,,,,,,,,,,,,0.961
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,1.003
,,,,,,,,,,,,2.172
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0.461
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0.643
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,6.973
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,4.798
,,,,,,,,,,,,6.148
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,11.998
,,,,,,,,,,,,0
,,,,,,,,,,,,3.979
,,,,,,,,,,,,3.987
,,,,,,,,,,,,3.843
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,10.721
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0.591
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,3
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,1.634
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0.542
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,6
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,8
,,,,,,,,,,,,8
,,,,,,,,,,,,8
,,,,,,,,,,,,8
,,,,,,,,,,,,8
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
